"ID","SectorBranchesSIC2008","Periods","OutputBasicPrices_1","IntermediateConsumption_2","GrossValueAddedBasicPrices_3","OutputBasicPrices_4","IntermediateConsumption_5","GrossValueAddedBasicPrices_6","OutputBasicPrices_7","IntermediateConsumption_8","GrossValueAddedBasicPrices_9","OutputBasicPrices_10","IntermediateConsumption_11","GrossValueAddedBasicPrices_12","Total_13","WagesAndSalaries_14","EmployersSocialContributions_15","Gross_16","ConsumptionOfFixedCapital_17","Net_18","TaxesLessSubsidies_19","OtherTaxesOnProduction_20","OtherSubsidiesOnProduction_21","GrossValueAddedBasicPrices_22"
34,"301000","2008JJ00",27445,17346,10099,27167,16697,10474,3.3,3.7,2.8,101,103.9,96.4,2543,2075,468,8160,3427,4733,-604,354,958,10099
35,"301000","2009JJ00",25716,16524,9192,27587,16787,10819,1.5,0.5,3.3,93.2,98.4,85,2563,2087,476,7183,3570,3613,-554,401,955,9192
36,"301000","2010JJ00",27953,17125,10828,27953,17125,10828,1.3,2,0.1,100,100,100,2603,2114,489,8762,3660,5102,-537,402,939,10828
37,"301000","2011JJ00",28449,18752,9697,27832,17158,10674,-0.4,0.2,-1.4,102.2,109.3,90.8,2677,2149,528,7742,3683,4059,-722,404,1126,9697
38,"301000","2012JJ00",29406,19181,10225,27584,17037,10541,-0.9,-0.7,-1.2,106.6,112.6,97,2739,2178,561,8214,3777,4437,-728,389,1117,10225
39,"301000","2013JJ00",30835,19637,11198,27818,17211,10595,0.8,1,0.5,110.8,114.1,105.7,2792,2225,567,9203,3901,5302,-797,360,1157,11198
40,"301000","2014JJ00",29648,18652,10996,28064,17028,11052,0.9,-1.1,4.3,105.6,109.5,99.5,2799,2216,583,8887,3967,4920,-690,352,1042,10996
41,"301000","2015JJ00",29335,18370,10965,28343,17234,11120,1,1.2,0.6,103.5,106.6,98.6,2798,2233,565,8925,4034,4891,-758,310,1068,10965
42,"301100","1995JJ00",20128,10570,9558,22553,13816,8713,NA,NA,NA,89.2,76.5,109.7,1516,1303,213,7962,2126,5836,80,293,213,9558
43,"301100","1996JJ00",20527,11279,9248,22470,14305,8305,-0.4,3.5,-4.7,91.4,78.8,111.4,1581,1363,218,7753,2173,5580,-86,268,354,9248
44,"301100","1997JJ00",21678,11405,10273,23156,14163,8968,3.1,-1,8,93.6,80.5,114.5,1639,1422,217,8627,2226,6401,7,276,269,10273
45,"301100","1998JJ00",20719,11379,9340,22838,14469,8492,-1.4,2.2,-5.3,90.7,78.6,110,1712,1412,300,7630,2293,5337,-2,268,270,9340
46,"301100","1999JJ00",20410,11434,8976,23846,14816,9076,4.4,2.4,6.9,85.6,77.2,98.9,1833,1490,343,7321,2381,4940,-178,267,445,8976
47,"301100","2000JJ00",21636,12039,9597,24129,14927,9235,1.2,0.7,1.7,89.7,80.7,103.9,1948,1556,392,7645,2546,5099,4,280,276,9597
48,"301100","2001JJ00",22393,12530,9863,23456,14876,8693,-2.8,-0.3,-5.9,95.5,84.2,113.5,2057,1673,384,7835,2698,5137,-29,328,357,9863
49,"301100","2002JJ00",22171,12603,9568,23664,14958,8808,0.9,0.6,1.3,93.7,84.3,108.6,2202,1789,413,7268,2820,4448,98,329,231,9568
50,"301100","2003JJ00",22100,12392,9708,23558,14545,9037,-0.4,-2.8,2.6,93.8,85.2,107.4,2217,1776,441,7569,2879,4690,-78,300,378,9708
51,"301100","2004JJ00",21892,12870,9022,24378,14820,9534,3.5,1.9,5.5,89.8,86.8,94.6,2181,1761,420,6947,2954,3993,-106,299,405,9022
52,"301100","2005JJ00",22508,13153,9355,24444,14875,9547,0.3,0.4,0.1,92.1,88.4,98,2179,1767,412,7224,3011,4213,-48,332,380,9355
53,"301100","2006JJ00",24486,14007,10479,24767,15166,9588,1.3,2,0.4,98.9,92.4,109.3,2221,1819,402,8592,3074,5518,-334,331,665,10479
54,"301100","2007JJ00",25674,15367,10307,25504,15721,9785,3,3.7,2.1,100.7,97.7,105.3,2341,1910,431,8482,3178,5304,-516,319,835,10307
55,"301100","2008JJ00",26627,16961,9666,26376,16309,10073,3.4,3.7,2.9,101,104,96,2412,1964,448,7862,3331,4531,-608,342,950,9666
56,"301100","2009JJ00",24997,16164,8833,26842,16412,10451,1.8,0.6,3.8,93.1,98.5,84.5,2428,1973,455,6965,3474,3491,-560,389,949,8833
57,"301100","2010JJ00",27182,16751,10431,27182,16751,10431,1.3,2.1,-0.2,100,100,100,2462,1999,463,8508,3567,4941,-539,393,932,10431
58,"301100","2011JJ00",27694,18382,9312,27134,16817,10317,-0.2,0.4,-1.1,102.1,109.3,90.3,2534,2033,501,7502,3593,3909,-724,395,1119,9312
59,"301100","2012JJ00",28640,18811,9829,26921,16708,10208,-0.8,-0.6,-1.1,106.4,112.6,96.3,2596,2063,533,7959,3688,4271,-726,384,1110,9829
60,"301100","2013JJ00",30122,19266,10856,27170,16879,10283,0.9,1,0.7,110.9,114.1,105.6,2649,2109,540,9004,3812,5192,-797,353,1150,10856
61,"301100","2014JJ00",28946,18304,10642,27446,16710,10757,1,-1,4.6,105.5,109.5,98.9,2650,2096,554,8678,3879,4799,-686,350,1036,10642
62,"301100","2015JJ00",28573,18020,10553,27709,16911,10813,1,1.2,0.5,103.1,106.6,97.6,2654,2116,538,8653,NA,NA,-754,308,1062,10553
63,"304300","1995JJ00",123,57,66,151,67,82,NA,NA,NA,81.5,84.5,80.3,59,45,14,10,8,2,-3,2,5,66
64,"304300","1996JJ00",126,60,66,152,72,78,0.8,7,-4.5,82.8,83.1,84.2,60,42,18,10,7,3,-4,2,6,66
65,"304300","1997JJ00",129,65,64,152,78,72,0,8.3,-7.6,84.8,83.1,88.3,58,45,13,10,7,3,-4,2,6,64
66,"304300","1998JJ00",133,68,65,152,82,69,0,4.6,-4.7,87.4,83.1,94.1,57,45,12,12,7,5,-4,4,8,65
67,"304300","1999JJ00",142,74,68,159,88,70,4.5,7.4,1.5,89.3,84.3,97,62,49,13,9,7,2,-3,4,7,68
68,"304300","2000JJ00",146,80,66,161,93,68,1.4,5.4,-2.9,90.5,86.4,97,64,49,15,8,7,1,-6,5,11,66
69,"304300","2001JJ00",157,81,76,168,94,73,4.1,1.3,7.6,93.5,86.4,103.8,70,55,15,11,7,4,-5,5,10,76
70,"304300","2002JJ00",162,87,75,171,99,71,1.9,6.2,-2.6,94.7,87.4,105.2,74,58,16,8,7,1,-7,6,13,75
71,"304300","2003JJ00",166,93,73,174,105,69,1.9,5.7,-2.7,95.3,88.4,105.2,78,58,20,3,7,-4,-8,6,14,73
72,"304300","2004JJ00",181,100,81,189,111,78,8.4,5.4,12.3,95.8,90.2,103.9,74,56,18,12,7,5,-5,9,14,81
73,"304300","2005JJ00",193,107,86,198,116,82,5,5,4.9,97.3,91.9,105.1,69,53,16,23,8,15,-6,8,14,86
74,"304300","2006JJ00",206,117,89,210,126,84,5.7,8.4,2.3,98.2,92.7,106.3,69,53,16,25,8,17,-5,8,13,89
75,"304300","2007JJ00",206,123,83,210,132,79,0,4.3,-5.6,98.2,93.5,105.1,73,56,17,12,8,4,-2,9,11,83
76,"304300","2008JJ00",224,134,90,225,140,86,7.3,6.5,8.4,99.6,95.6,105.1,69,59,10,20,8,12,1,8,7,90
77,"304300","2009JJ00",229,134,95,230,138,92,2.2,-1.5,7.8,99.6,97.1,102.9,75,63,12,17,9,8,3,8,5,95
78,"304300","2010JJ00",240,136,104,240,136,104,4.4,-1.5,12.6,100,100,100,82,65,17,22,10,12,0,6,6,104
79,"304300","2011JJ00",243,132,111,228,126,102,-5,-7.4,-1.9,106.6,104.8,108.8,83,65,18,28,9,19,0,6,6,111
80,"304300","2012JJ00",256,139,117,230,127,103,0.8,0.8,0.9,111.4,109.5,113.7,81,63,18,40,9,31,-4,2,6,117
81,"304300","2013JJ00",267,150,117,239,136,103,3.9,7.2,0,111.8,110.2,113.7,79,62,17,38,9,29,0,6,6,117
82,"304300","2014JJ00",252,139,113,229,128,101,-4.1,-6,-1.7,110,108.7,111.7,79,61,18,38,8,30,-4,2,6,113
83,"304300","2015JJ00",264,144,120,244,133,111,6.3,3.6,9.7,108.4,108.7,108.1,80,63,17,44,NA,NA,-4,2,6,120
84,"305000","1995JJ00",525,170,355,650,244,395,NA,NA,NA,80.8,69.8,89.8,101,91,10,251,83,168,3,3,0,355
85,"305000","1996JJ00",503,166,337,610,232,368,-6.1,-4.7,-6.8,82.5,71.5,91.5,93,84,9,241,82,159,3,3,0,337
86,"305000","1997JJ00",501,166,335,566,227,333,-7.2,-2.4,-9.5,88.5,73.3,100.5,89,81,8,243,80,163,3,3,0,335
87,"305000","1998JJ00",546,173,373,608,237,362,7.4,4.8,8.7,89.8,72.8,103,90,77,13,280,85,195,3,3,0,373
88,"305000","1999JJ00",582,183,399,627,243,375,3.1,2.3,3.5,92.8,75.3,106.4,96,81,15,299,88,211,4,4,0,399
89,"305000","2000JJ00",567,193,374,557,232,321,-11.2,-4.4,-14.3,101.8,83.1,116.4,90,75,15,280,91,189,4,4,0,374
90,"305000","2001JJ00",603,200,403,572,240,329,2.6,3.1,2.4,105.5,83.5,122.5,82,69,13,315,91,224,6,6,0,403
91,"305000","2002JJ00",547,190,357,506,224,283,-11.4,-6.5,-13.9,108,84.8,126,74,63,11,279,95,184,4,4,0,357
92,"305000","2003JJ00",559,200,359,525,229,296,3.7,2.1,4.5,106.5,87.4,121.3,79,66,13,277,97,180,3,3,0,359
93,"305000","2004JJ00",527,205,322,530,231,299,1.1,1,1.1,99.4,88.7,107.6,71,60,11,249,95,154,2,3,1,322
94,"305000","2005JJ00",540,215,325,529,234,296,-0.2,1.5,-1.2,102,91.7,109.9,65,55,10,258,94,164,2,3,1,325
95,"305000","2006JJ00",551,217,334,492,228,267,-7,-2.8,-9.8,112,95.2,125.3,61,52,9,271,92,179,2,3,1,334
96,"305000","2007JJ00",609,239,370,578,250,326,17.4,9.7,22.5,105.4,95.6,113.4,66,56,10,302,91,211,2,3,1,370
97,"305000","2008JJ00",594,251,343,564,249,314,-2.5,-0.4,-3.8,105.4,100.9,109.2,62,52,10,278,88,190,3,4,1,343
98,"305000","2009JJ00",490,226,264,516,237,279,-8.4,-4.8,-11.1,94.9,95.4,94.5,60,51,9,201,87,114,3,4,1,264
99,"305000","2010JJ00",531,238,293,531,238,293,2.9,0.4,4.9,100,100,100,59,50,9,232,83,149,2,3,1,293
100,"305000","2011JJ00",512,238,274,470,215,255,-11.5,-9.7,-13,108.9,110.7,107.5,60,51,9,212,81,131,2,3,1,274
101,"305000","2012JJ00",510,231,279,435,202,233,-7.4,-5.9,-8.8,117.2,114.2,119.9,62,52,10,215,80,135,2,3,1,279
102,"305000","2013JJ00",446,221,225,414,197,217,-4.9,-2.6,-6.8,107.8,112.1,103.8,64,54,10,161,80,81,0,1,1,225
103,"305000","2014JJ00",450,209,241,392,191,201,-5.2,-3.2,-7.1,114.7,109.5,119.7,70,59,11,171,80,91,0,0,0,241
104,"305000","2015JJ00",498,206,292,393,191,202,0.2,0,0.4,126.6,107.9,144.4,64,54,10,228,NA,NA,0,0,0,292
105,"300002","1995JJ00",171549,107649,63900,233709,157501,75686,NA,NA,NA,73.4,68.3,84.4,30660,26062,4598,32991,12003,20988,249,450,201,63900
106,"300002","1996JJ00",181249,115095,66154,244274,165127,78698,4.5,4.8,4,74.2,69.7,84.1,30877,26187,4690,35115,12297,22818,162,433,271,66154
107,"300002","1997JJ00",193997,126283,67714,255006,176283,78920,4.4,6.8,0.3,76.1,71.6,85.8,31590,27133,4457,36168,12652,23516,-44,368,412,67714
108,"300002","1998JJ00",200113,129824,70289,266464,185947,81011,4.5,5.5,2.6,75.1,69.8,86.8,32861,26600,6261,37600,13073,24527,-172,371,543,70289
109,"300002","1999JJ00",206741,135548,71193,274896,191745,83643,3.2,3.1,3.2,75.2,70.7,85.1,34186,27622,6564,37133,13457,23676,-126,461,587,71193
110,"300002","2000JJ00",234272,156762,77510,286700,199491,87640,4.3,4,4.8,81.7,78.6,88.4,36238,28792,7446,41388,14090,27298,-116,492,608,77510
111,"300002","2001JJ00",241069,159106,81963,288576,199792,89107,0.7,0.2,1.7,83.5,79.6,92,37176,30048,7128,44870,14711,30159,-83,583,666,81963
112,"300002","2002JJ00",236421,155579,80842,285148,196627,88733,-1.2,-1.6,-0.4,82.9,79.1,91.1,38250,30650,7600,42769,15268,27501,-177,616,793,80842
113,"300002","2003JJ00",238228,156561,81667,284319,196072,88461,-0.3,-0.3,-0.3,83.8,79.8,92.3,38293,30706,7587,43434,15475,27959,-60,544,604,81667
114,"300002","2004JJ00",251357,166430,84927,293361,200918,92476,3.2,2.5,4.5,85.7,82.8,91.8,38375,30555,7820,46643,15640,31003,-91,561,652,84927
115,"300002","2005JJ00",269880,180086,89794,298889,205137,93827,1.9,2.1,1.5,90.3,87.8,95.7,37949,30411,7538,51864,15842,36022,-19,576,595,89794
