TIME_PERIOD,SNA_TABLE1.AUS.B1_GA.C,SNA_TABLE1.AUS.B1G_P119.C,SNA_TABLE1.AUS.B1G.C,SNA_TABLE1.AUS.B1_GA.V,SNA_TABLE1.AUS.B1G_P119.V,SNA_TABLE1.AUS.B1G.V,SNA_TABLE1.AUT.B1_GA.C,SNA_TABLE1.AUT.B1G_P119.C,SNA_TABLE1.AUT.B1G.C,SNA_TABLE1.AUT.B1_GA.V,SNA_TABLE1.AUT.B1G_P119.V,SNA_TABLE1.AUT.B1G.V,SNA_TABLE1.BEL.B1_GA.C,SNA_TABLE1.BEL.B1G_P119.C,SNA_TABLE1.BEL.B1G.C,SNA_TABLE1.BEL.B1_GA.V,SNA_TABLE1.BEL.B1G_P119.V,SNA_TABLE1.BEL.B1G.V
2009/01/01,1297508.0,1207173.0,1207173.0,1413929.0,1312282.0,1312282.0,286188.36,254762.66,254762.66,289052.62,257126.29,257126.29,348781.0,312596.0,312596.0,376900.0,336932.0,336932.0
2010/01/01,1410442.0,1316310.0,1316310.0,1447479.0,1343038.0,1343038.0,294627.5,262311.39,262311.39,294627.5,262311.39,262311.39,365101.0,326534.0,326534.0,387058.0,345390.0,345390.0
2011/01/01,1491741.0,1397563.0,1397563.0,1500084.0,1393618.0,1393618.0,308630.28,274852.21,274852.21,302900.64,270537.93,270537.93,379106.0,339644.0,339644.0,394012.0,352793.0,352793.0
2012/01/01,1527529.0,1429991.0,1429991.0,1538634.0,1430705.0,1430705.0,317116.96,281955.66,281955.66,305159.54,272166.42,272166.42,387500.0,346698.0,346698.0,394552.0,353096.0,353096.0
2013/01/01,1589940.0,1484646.0,1484646.0,1578784.0,1470476.0,1470476.0,322539.23,287194.73,287194.73,305538.62,272885.09,272885.09,391712.0,350217.0,350217.0,394287.0,352585.0,352585.0
2014/01/01,1617016.0,1507569.0,1507569.0,1617016.0,1507569.0,1507569.0,330417.6,294442.69,294442.69,307508.87,274731.11,274731.11,400805.0,358478.0,358478.0,400805.0,358478.0,358478.0
2015/01/01,1654864.0,1547561.0,1547561.0,1661739.0,1548227.0,1548227.0,339896.04,302652.91,302652.91,310470.36,276936.64,276936.64,410351.0,367354.0,367354.0,406818.0,364077.0,364077.0
2016/01/01,,,,,,,349492.97,311170.58,311170.58,315070.48,280922.13,280922.13,421974.0,376650.0,376650.0,411859.0,368478.0,368478.0

